"Datum";"Jahr";"Monat";"Tag";"T";"Tmax";"Tmin";"RR";"Sun"
"1960-06-01";1960;6;1;13.7;19.2;6.6;0;9.6
"1960-06-02";1960;6;2;15.4;21;7.5;0;12.6
"1960-06-03";1960;6;3;16.6;22.6;7.4;0;16
"1960-06-04";1960;6;4;17;24.4;8.6;1.1;8.5
"1960-06-05";1960;6;5;17.4;24.9;12.2;0;9.9
"1960-06-06";1960;6;6;19.9;25.8;10.9;1.4;8.8
"1960-06-07";1960;6;7;19.9;26.9;11.8;1.1;5.3
"1960-06-08";1960;6;8;16.8;23.4;12;0;13.9
"1960-06-09";1960;6;9;19.3;25.4;13.4;0.2;8
"1960-06-10";1960;6;10;17.9;23.4;13;0.7;7.9
"1960-06-11";1960;6;11;16.4;20.7;12.5;1;5.9
"1960-06-12";1960;6;12;16.6;22.4;12;0.1;7.2
"1960-06-13";1960;6;13;18.6;24;14.5;38.6;5.6
"1960-06-14";1960;6;14;15.6;19;14.4;7.6;1.1
"1960-06-15";1960;6;15;13.5;19.9;11.2;10.4;5.9
"1960-06-16";1960;6;16;16.4;20.7;8.6;0.3;11.1
"1960-06-17";1960;6;17;17.7;21.4;13.4;0;5.2
"1960-06-18";1960;6;18;18.7;23.5;12.6;7.8;9
"1960-06-19";1960;6;19;15.6;18.7;13.2;2.3;6.9
"1960-06-20";1960;6;20;13.4;17.6;10.3;0.1;5.1
"1960-06-21";1960;6;21;16.3;21;10.3;0;14.5
"1960-06-22";1960;6;22;17.4;22;8.4;0;14.9
"1960-06-23";1960;6;23;19.6;24.8;10.4;0;14.9
"1960-06-24";1960;6;24;19.2;24.6;11.1;0;14.6
"1960-06-25";1960;6;25;20.2;25.9;12;0;13.1
"1960-06-26";1960;6;26;20.4;26.4;11.3;0;15.2
"1960-06-27";1960;6;27;19;24.6;13.1;4.8;12
"1960-06-28";1960;6;28;13.3;18.4;11.6;2;6.8
"1960-06-29";1960;6;29;11.4;13.5;8.2;9;0.5
"1960-06-30";1960;6;30;11.9;14.5;10.2;2;0.4
"1960-07-01";1960;7;1;9.8;14;8.6;3.7;2.3
"1960-07-02";1960;7;2;11.6;15;8.3;0.4;1.5
"1960-07-03";1960;7;3;12.8;16.5;9;21.6;3.3
"1960-07-04";1960;7;4;11.6;15.3;9.2;1.8;1.1
"1960-07-05";1960;7;5;14.7;20;9.3;2.7;5.6
"1960-07-06";1960;7;6;15.2;20.9;12.8;4.2;3.8
"1960-07-07";1960;7;7;16;21.3;11.5;0;8.6
"1960-07-08";1960;7;8;18.1;23.7;9.8;12.4;2.9
"1960-07-09";1960;7;9;15.5;19.6;13.7;0;8.5
"1960-07-10";1960;7;10;16.9;21.8;9.4;0;8.1
"1960-07-11";1960;7;11;18.5;24.3;14.1;0.3;6.2
"1960-07-12";1960;7;12;16.5;22;13.8;0;7
"1960-07-13";1960;7;13;16.2;21.8;11.5;0;10.8
"1960-07-14";1960;7;14;19.6;25.2;10.6;0;12.5
"1960-07-15";1960;7;15;19.4;23.9;15.8;11.1;5.2
"1960-07-16";1960;7;16;15.8;19.7;14.6;12.5;4.4
"1960-07-17";1960;7;17;17.4;23.4;11.1;0;9.5
"1960-07-18";1960;7;18;19.4;24.9;14.7;0;6.7
"1960-07-19";1960;7;19;19.5;25.2;10.9;0;8.6
"1960-07-20";1960;7;20;18.1;24;14;0;14.7
"1960-07-21";1960;7;21;15.4;19.1;12.4;5;0.5
"1960-07-22";1960;7;22;14.3;19;12.4;0.6;5.9
"1960-07-23";1960;7;23;14;20;10;0.8;6.8
"1960-07-24";1960;7;24;15.1;18.3;9.6;0.1;8.2
"1960-07-25";1960;7;25;16.1;21.9;11.2;0;13.6
"1960-07-26";1960;7;26;16.6;21.2;9.9;0;3.1
"1960-07-27";1960;7;27;15.2;19.6;10.2;0;7.3
"1960-07-28";1960;7;28;15.7;21;11.8;0;6
"1960-07-29";1960;7;29;18;22.8;10.2;0;3.2
"1960-07-30";1960;7;30;21.4;27.9;12.1;0;12.8
"1960-07-31";1960;7;31;23.2;30.4;15.4;0;14
"1960-08-01";1960;8;1;23.9;29.4;13.1;0;12.5
"1960-08-02";1960;8;2;16.3;23.5;16;0;0
"1960-08-03";1960;8;3;15.4;20.6;13.4;0.6;4.2
"1960-08-04";1960;8;4;14.2;15.3;12.1;1.9;0
"1960-08-05";1960;8;5;17.1;23.4;11.6;2;7.2
"1960-08-06";1960;8;6;16.4;22.1;13.4;0;9
"1960-08-07";1960;8;7;14;18.1;12.6;0.4;1.2
"1960-08-08";1960;8;8;15.3;20.5;10.4;0;4.5
"1960-08-09";1960;8;9;15.9;23.3;8.2;0;9
"1960-08-10";1960;8;10;15.2;20.1;11;0.4;4.7
"1960-08-11";1960;8;11;16.2;20.5;11.7;5.5;0.6
"1960-08-12";1960;8;12;16;19.9;15.1;2.3;1
"1960-08-13";1960;8;13;14.6;17.6;12.7;0;0
"1960-08-14";1960;8;14;12.2;18.9;9.4;0;7.8
"1960-08-15";1960;8;15;13.8;20.9;5.7;6.6;7.7
"1960-08-16";1960;8;16;13.7;19.8;11;6.1;5.1
"1960-08-17";1960;8;17;14.6;20.6;10.4;0.2;12.5
"1960-08-18";1960;8;18;15.5;18.3;11.8;6.6;0
"1960-08-19";1960;8;19;14.2;19.2;11.8;0.3;4.5
"1960-08-20";1960;8;20;13.6;18.6;10.6;1.9;4
"1960-08-21";1960;8;21;13.6;19.2;10.8;0.5;5.7
"1960-08-22";1960;8;22;15.5;20.2;10.1;0.8;2.1
"1960-08-23";1960;8;23;17.4;24.4;15.1;0.9;6.2
"1960-08-24";1960;8;24;17.8;23.1;13.2;0;7
"1960-08-25";1960;8;25;18.7;24.7;14.3;1.1;2.3
"1960-08-26";1960;8;26;21.4;30.1;14.1;0;10.4
"1960-08-27";1960;8;27;25.7;31.5;17.5;0;10.4
"1960-08-28";1960;8;28;19.8;26.2;17.5;3.1;4.8
"1960-08-29";1960;8;29;17;22.3;15.5;0.1;9.5
"1960-08-30";1960;8;30;15.1;19.5;13.6;4.2;5.4
"1960-08-31";1960;8;31;13.4;17.4;12.2;4.4;3.3
"1961-06-01";1961;6;1;17.4;23;10.2;0;10.7
"1961-06-02";1961;6;2;18;25.1;10.8;0;13.7
"1961-06-03";1961;6;3;18;25.2;10.7;0;13.8
"1961-06-04";1961;6;4;19.1;25.4;13;0.2;12.7
"1961-06-05";1961;6;5;20.8;27.8;13.4;1.7;9.4
